Country Name,Country Code,Series Name,Series Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Lao PDR,LAO,"Population, total",SP.POP.TOTL,5409582,5493246,5576640,5662208,5751676,5846074,5944948,6046620,6148623,6249165,6347567,6444530,6541304,6639756,6741164,6845846,6953035,7061507,7169000,7276000,7379000
Latvia,LVA,"Population, total",SP.POP.TOTL,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1926542,1916000,1905000,1894000
Lebanon,LBN,"Population, total",SP.POP.TOTL,3991001,4182205,4388375,4569378,4698763,4759753,4767344,4764741,4813026,4953061,5202343,5538634,5914621,6262410,6532678,6711121,6811873,6848925,6856000,6825000,6769000
Lesotho,LSO,"Population, total",SP.POP.TOTL,2035740,2029829,2018348,2005940,1996114,1989939,1986922,1987129,1990131,1995581,2003787,2014990,2028519,2043437,2059021,2075001,2091412,2108132,2125000,2142000,2159000
Liberia,LBR,"Population, total",SP.POP.TOTL,2953927,3024729,3077058,3135651,3218116,3329211,3461911,3607860,3754133,3891356,4017443,4135659,4248334,4359505,4472230,4586788,4702228,4818977,4937000,5058000,5180000
Libya,LBY,"Population, total",SP.POP.TOTL,5443248,5531089,5620547,5710154,5798614,5886872,5974787,6058748,6133984,6197663,6247439,6285750,6320359,6362037,6418315,6492164,6580724,6678567,6777000,6871000,6959000
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,33552,33879,34175,34452,34713,34970,35217,35471,35727,35994,36293,36615,36934,37223,37470,37658,37800,37910,38000,38000,38000
Lithuania,LTU,"Population, total",SP.POP.TOTL,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2868231,2828403,2789533,2778000,2767000,2757000
Luxembourg,LUX,"Population, total",SP.POP.TOTL,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607728,615000,622000,629000
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,437938,448821,460165,471597,482858,493799,504511,515239,526400,538219,550832,564039,577372,590208,602085,612836,622585,631636,640000,649000,658000
Madagascar,MDG,"Population, total",SP.POP.TOTL,16260932,16765117,17279141,17802997,18336724,18880269,19433530,19996473,20569117,21151640,21743967,22346641,22961253,23589887,24234088,24894380,25570540,26262368,26969000,27691000,28427000
Malawi,MWI,"Population, total",SP.POP.TOTL,11432000,11713664,12000181,12301838,12625952,12973699,13341806,13727890,14128155,14539612,14962112,15396005,15839269,16289540,16745303,17205289,17670260,18143315,18629000,19130000,19648000
Malaysia,MYS,"Population, total",SP.POP.TOTL,23709119,24208391,24698819,25190652,25690611,26201961,26720370,27236006,27735040,28208035,28650955,29068159,29468872,29866559,30270962,30684804,31105028,31528585,31950000,32366000,32776000
Maldives,MDV,"Population, total",SP.POP.TOTL,286306,294186,302683,311265,319608,327487,335169,343452,353398,365734,380495,397237,415593,435015,454915,475513,496402,515696,531000,541000,544000
